NMR signal (mV),time (s)
0.296608,0.0
0.255542,0.00075
0.258417,0.0015
0.248835,0.00225
0.282783,0.003
0.271832,0.00375
0.241306,0.0045
0.248561,0.00525
0.26266,0.006
0.253352,0.00675
0.264029,0.0075
0.262387,0.00825
0.267178,0.009
0.254858,0.00975
0.257733,0.0105
0.245139,0.01125
0.273338,0.012
0.264303,0.01275
0.243496,0.0135
0.273201,0.01425
0.275117,0.015
0.252942,0.01575
0.241854,0.0165
0.261565,0.01725
0.240211,0.018
0.232819,0.01875
0.265535,0.0195
0.257322,0.02025
0.233778,0.021
0.242538,0.02175
0.259786,0.0225
0.25212,0.02325
0.250204,0.024
0.241991,0.02475
0.249246,0.0255
0.245824,0.02625
0.249246,0.027
0.248561,0.02775
0.280729,0.0285
0.253626,0.02925
0.231587,0.03
0.256501,0.03075
0.243633,0.0315
0.250067,0.03225
0.251573,0.033
0.248698,0.03375
0.26622,0.0345
0.240485,0.03525
0.252805,0.036
0.259649,0.03675
0.23145,0.0375
0.227344,0.03825
0.248424,0.039
0.25609,0.03975
0.250067,0.0405
0.245139,0.04125
0.261292,0.042
0.263482,0.04275
0.24774,0.0435
0.24158,0.04425
0.262113,0.045
0.259238,0.04575
0.248287,0.0465
0.251573,0.04725
0.244865,0.048
0.255542,0.04875
0.249793,0.0495
0.251162,0.05025
0.259923,0.051
0.251846,0.05175
0.240896,0.0525
0.249246,0.05325
0.252257,0.054
0.26047,0.05475
0.261292,0.0555
0.246645,0.05625
0.240896,0.057
0.23761,0.05775
0.255542,0.0585
0.239937,0.05925
0.243223,0.06
0.238569,0.06075
0.255269,0.0615
0.241717,0.06225
0.221047,0.063
0.238432,0.06375
0.250067,0.0645
0.2539,0.06525
0.22707,0.066
0.256501,0.06675
0.250615,0.0675
0.241854,0.06825
0.232135,0.069
0.246371,0.06975
0.253763,0.0705
0.257185,0.07125
0.247877,0.072
0.249383,0.07275
0.249656,0.0735
0.244455,0.07425
0.257048,0.075
0.251983,0.07575
0.236789,0.0765
0.230903,0.07725
0.257733,0.078
0.249246,0.07875
0.234873,0.0795
0.234188,0.08025
0.251162,0.081
0.242949,0.08175
0.240622,0.0825
0.260881,0.08325
0.242401,0.084
0.24555,0.08475
0.236926,0.0855
0.259375,0.08625
0.236515,0.087
0.235557,0.08775
0.248972,0.0885
0.248972,0.08925
0.23323,0.09
0.217762,0.09075
0.257185,0.0915
0.232272,0.09225
0.231177,0.093
0.241717,0.09375
0.240622,0.0945
0.236105,0.09525
0.251846,0.096
0.240622,0.09675
0.245413,0.0975
0.241033,0.09825
0.222827,0.099
0.230903,0.09975
0.258417,0.1005
0.229397,0.10125
0.235694,0.102
0.249656,0.10275
0.24555,0.1035
0.231998,0.10425
0.251436,0.105
0.245687,0.10575
0.24377,0.1065
0.222964,0.10725
0.259238,0.108
0.25609,0.10875
0.235831,0.1095
0.219268,0.11025
0.251162,0.111
0.233504,0.11175
0.240211,0.1125
0.237337,0.11325
0.234188,0.114
0.246371,0.11475
0.227207,0.1155
0.238569,0.11625
0.255679,0.117
0.236926,0.11775
0.242675,0.1185
0.224196,0.11925
0.24596,0.12
0.234188,0.12075
0.238569,0.1215
0.238158,0.12225
0.2231,0.123
0.240348,0.12375
0.23761,0.1245
0.25828,0.12525
0.22091,0.126
0.228165,0.12675
0.242538,0.1275
0.250615,0.12825
0.244181,0.129
0.230492,0.12975
0.229808,0.1305
0.236926,0.13125
0.228576,0.132
0.23761,0.13275
0.242949,0.1335
0.238158,0.13425
0.227891,0.135
0.246097,0.13575
0.251436,0.1365
0.225701,0.13725
0.242949,0.138
0.254447,0.13875
0.245139,0.1395
0.227891,0.14025
0.246919,0.141
0.242812,0.14175
0.243223,0.1425
0.225701,0.14325
0.241443,0.144
0.242538,0.14475
0.223785,0.1455
0.24158,0.14625
0.236378,0.147
0.247329,0.14775
0.233093,0.1485
0.242538,0.14925
0.244865,0.15
0.244455,0.15075
0.22885,0.1515
0.240759,0.15225
0.222827,0.153
0.220089,0.15375
0.248835,0.1545
0.238158,0.15525
0.230766,0.156
0.235146,0.15675
0.224059,0.1575
0.245687,0.15825
0.238021,0.159
0.234736,0.15975
0.229945,0.1605
0.223648,0.16125
0.23323,0.162
0.23104,0.16275
0.224743,0.1635
0.228165,0.16425
0.228439,0.165
0.245824,0.16575
0.24774,0.1665
0.224469,0.16725
0.224332,0.168
0.237337,0.16875
0.23145,0.1695
0.232819,0.17025
0.225701,0.171
0.2372,0.17175
0.231998,0.1725
0.227891,0.17325
0.23323,0.174
0.247877,0.17475
0.232272,0.1755
0.222827,0.17625
0.228987,0.177
0.222279,0.17775
0.222827,0.1785
0.240348,0.17925
0.251299,0.18
0.244318,0.18075
0.23501,0.1815
0.230766,0.18225
0.243496,0.183
0.236378,0.18375
0.224332,0.1845
0.237063,0.18525
0.240074,0.186
0.22269,0.18675
0.20818,0.1875
0.236652,0.18825
0.229808,0.189
0.234051,0.18975
0.239253,0.1905
0.229945,0.19125
0.228987,0.192
0.218446,0.19275
0.236926,0.1935
0.230492,0.19425
0.222279,0.195
0.234736,0.19575
0.245413,0.1965
0.223374,0.19725
0.233093,0.198
0.237063,0.19875
0.251025,0.1995
0.22885,0.20025
0.222964,0.201
0.246371,0.20175
0.229397,0.2025
0.240622,0.20325
0.212834,0.204
0.232546,0.20475
0.232682,0.2055
0.218994,0.20625
0.221184,0.207
0.225975,0.20775
0.209275,0.2085
0.202157,0.20925
0.228713,0.21
0.23761,0.21075
0.226933,0.2115
0.221458,0.21225
0.22885,0.213
0.240211,0.21375
0.212834,0.2145
0.236105,0.21525
0.246782,0.216
0.236926,0.21675
0.210096,0.2175
0.236515,0.21825
0.232546,0.219
0.220773,0.21975
0.222827,0.2205
0.218309,0.22125
0.216119,0.222
0.233778,0.22275
0.223922,0.2235
0.219815,0.22425
0.231724,0.225
0.22488,0.22575
0.241033,0.2265
0.240896,0.22725
0.222279,0.228
0.211739,0.22875
0.232546,0.2295
0.235968,0.23025
0.221321,0.231
0.212834,0.23175
0.239664,0.2325
0.225838,0.23325
0.222279,0.234
0.228987,0.23475
0.224196,0.2355
0.222964,0.23625
0.2231,0.237
0.240348,0.23775
0.231587,0.2385
0.208317,0.23925
0.226523,0.24
0.217899,0.24075
0.22926,0.2415
0.225975,0.24225
0.234188,0.243
0.23542,0.24375
0.21653,0.2445
0.219815,0.24525
0.214614,0.246
0.227755,0.24675
0.224469,0.2475
0.222964,0.24825
0.243633,0.249
0.222827,0.24975
0.209959,0.2505
0.209959,0.25125
0.229397,0.252
0.223511,0.25275
0.203389,0.2535
0.248835,0.25425
0.23939,0.255
0.218857,0.25575
0.217899,0.2565
0.221732,0.25725
0.224469,0.258
0.215298,0.25875
0.225975,0.2595
0.23104,0.26025
0.229671,0.261
0.202157,0.26175
0.232409,0.2625
0.234325,0.26325
0.202568,0.264
0.214066,0.26475
0.235968,0.2655
0.227618,0.26625
0.217488,0.267
0.210096,0.26775
0.229397,0.2685
0.232409,0.26925
0.222005,0.27
0.231587,0.27075
0.202568,0.2715
0.210233,0.27225
0.213382,0.273
0.236241,0.27375
0.221732,0.2745
0.200788,0.27525
0.212286,0.276
0.217077,0.27675
0.227344,0.2775
0.220773,0.27825
0.217488,0.279
0.232819,0.27975
0.207769,0.2805
0.199282,0.28125
0.232546,0.282
0.229123,0.28275
0.209549,0.2835
0.241443,0.28425
0.222142,0.285
0.212013,0.28575
0.214614,0.2865
0.216256,0.28725
0.221595,0.288
0.213655,0.28875
0.221321,0.2895
0.225564,0.29025
0.230355,0.291
0.222416,0.29175
0.212286,0.2925
0.218994,0.29325
0.212013,0.294
0.205853,0.29475
0.20421,0.2955
0.212423,0.29625
0.207769,0.297
0.212423,0.29775
0.223237,0.2985
0.212013,0.29925
0.217762,0.3
0.205442,0.30075
0.221321,0.3015
0.229671,0.30225
0.203389,0.303
0.21256,0.30375
0.220773,0.3045
0.217899,0.30525
0.197913,0.306
0.209412,0.30675
0.232272,0.3075
0.222005,0.30825
0.209823,0.309
0.219952,0.30975
0.218309,0.3105
0.211876,0.31125
0.219131,0.312
0.225838,0.31275
0.227481,0.3135
0.206537,0.31425
0.223237,0.315
0.223922,0.31575
0.200514,0.3165
0.220637,0.31725
0.233504,0.318
0.225154,0.31875
0.215161,0.3195
0.222553,0.32025
0.218446,0.321
0.21434,0.32175
0.207769,0.3225
0.215572,0.32325
0.231587,0.324
0.2064,0.32475
0.210781,0.3255
0.235283,0.32625
0.222553,0.327
0.218857,0.32775
0.212697,0.3285
0.236515,0.32925
0.216804,0.33
0.214887,0.33075
0.224332,0.3315
0.210644,0.33225
0.223237,0.333
0.19367,0.33375
0.208454,0.3345
0.204484,0.33525
0.193807,0.336
0.204347,0.33675
0.233914,0.3375
0.203936,0.33825
0.209686,0.339
0.209549,0.33975
0.227344,0.3405
0.22707,0.34125
0.207085,0.342
0.223237,0.34275
0.225838,0.3435
0.228028,0.34425
0.200788,0.345
0.221732,0.34575
0.216804,0.3465
0.221184,0.34725
0.205168,0.348
0.215982,0.34875
0.210644,0.3495
0.211328,0.35025
0.235968,0.351
0.218446,0.35175
0.226933,0.3525
0.205032,0.35325
0.21872,0.354
0.209959,0.35475
0.199556,0.3555
0.222416,0.35625
0.219541,0.357
0.210781,0.35775
0.199693,0.3585
0.213655,0.35925
0.225017,0.36
0.217762,0.36075
0.204895,0.3615
0.215298,0.36225
0.226112,0.363
0.201472,0.36375
0.195313,0.3645
0.219678,0.36525
0.202978,0.366
0.213245,0.36675
0.211465,0.3675
0.196955,0.36825
0.21215,0.369
0.218857,0.36975
0.20818,0.3705
0.199145,0.37125
0.189837,0.372
0.199145,0.37275
0.223648,0.3735
0.21037,0.37425
0.197777,0.375
0.209412,0.37575
0.225291,0.3765
0.200788,0.37725
0.203252,0.378
0.236926,0.37875
0.217899,0.3795
0.21475,0.38025
0.197092,0.381
0.21037,0.38175
0.210096,0.3825
0.181761,0.38325
0.204347,0.384
0.206263,0.38475
0.213929,0.3855
0.207222,0.38625
0.217351,0.387
0.206811,0.38775
0.19983,0.3885
0.195723,0.38925
0.219952,0.39
0.210233,0.39075
0.198735,0.3915
0.194765,0.39225
0.216941,0.393
0.207906,0.39375
0.19805,0.3945
0.216804,0.39525
0.207769,0.396
0.201746,0.39675
0.187784,0.3975
0.213518,0.39825
0.209412,0.399
0.189016,0.39975
0.195997,0.4005
0.220363,0.40125
0.202978,0.402
0.197503,0.40275
0.204347,0.4035
0.215161,0.40425
0.185594,0.405
0.181898,0.40575
0.196271,0.4065
0.212013,0.40725
0.213792,0.408
0.202431,0.40875
0.225838,0.4095
0.209823,0.41025
0.182172,0.411
0.215024,0.41175
0.223511,0.4125
0.188195,0.41325
0.208043,0.414
0.212971,0.41475
0.211602,0.4155
0.191617,0.41625
0.219678,0.417
0.212423,0.41775
0.199967,0.4185
0.204484,0.41925
0.205305,0.42
0.221595,0.42075
0.189153,0.4215
0.187099,0.42225
0.212286,0.423
0.204758,0.42375
0.191617,0.4245
0.193396,0.42525
0.206263,0.426
